16 17
0 0	0 0	0 0	0 0	0 0	0 0	-55 160	-51 160	-51 160	-69 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	-70 160	-88 15	-88 15	-70 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	-70 160	0 0	0 0	-70 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	-70 160	0 0	0 0	-70 160	0 0	0 0	0 0	0 0	0 0	0 0	
63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	
63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	63 160	
0 0	0 0	0 0	0 0	0 0	0 0	63 160	7 15	63 160	63 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	63 160	63 160	7 15	63 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	63 160	7 15	63 160	63 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	63 160	63 160	7 15	63 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	63 160	7 15	63 160	63 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	0 0	63 160	63 160	63 160	63 160	0 0	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	0 0	63 160	63 160	63 160	63 160	63 160	63 160	0 0	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	0 0	63 160	63 160	0 0	0 0	0 0	0 0	63 160	63 160	0 0	0 0	0 0	0 0	
0 0	0 0	0 0	63 160	63 160	0 0	0 0	0 0	0 0	0 0	0 0	63 160	63 160	0 0	0 0	0 0	
0 0	0 0	63 160	63 160	0 0	0 0	0 0	0 0	0 0	0 0	0 0	0 0	63 160	63 160	0 0	0 0	
0 0	63 160	63 160	0 0	0 0	0 0	0 0	0 0	0 0	0 0	0 0	0 0	0 0	63 160	63 160	0 0	
